Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_24_147,VPWR,li1,73.3700,78.8800,1.799993
FILLER_24_141,VPWR,li1,71.7600,78.8800,1.799993
FILLER_24_130,VPWR,li1,65.5500,78.8800,1.799994
FILLER_24_118,VPWR,li1,62.5600,78.8800,1.799994
FILLER_24_113,VPWR,li1,57.9600,78.8800,1.799994
FILLER_24_111,VPWR,li1,56.8100,78.8800,1.799994
FILLER_24_105,VPWR,li1,54.5100,78.8800,1.799995
FILLER_24_97,VPWR,li1,51.9800,78.8800,1.799995
FILLER_24_85,VPWR,li1,47.3800,78.8800,1.799996
FILLER_24_83,VPWR,li1,43.9300,78.8800,1.799996
FILLER_24_75,VPWR,li1,41.8600,78.8800,1.799996
FILLER_24_63,VPWR,li1,37.2600,78.8800,1.799997
FILLER_24_57,VPWR,li1,32.2000,78.8800,1.799997
FILLER_24_49,VPWR,li1,28.7500,78.8800,1.799998
FILLER_24_42,VPWR,li1,25.5300,78.8800,1.799998
FILLER_24_37,VPWR,li1,22.7700,78.8800,1.799999
FILLER_24_29,VPWR,li1,20.7000,78.8800,1.799999
FILLER_24_27,VPWR,li1,18.1700,78.8800,1.799999
FILLER_24_15,VPWR,li1,15.1800,78.8800,1.799999
FILLER_24_3,VPWR,li1,9.6600,78.8800,1.799999
FILLER_23_147,VPWR,li1,73.3700,73.4400,1.799981
FILLER_23_141,VPWR,li1,71.7600,73.4400,1.799981
FILLER_23_122,VPWR,li1,62.3300,73.4400,1.799982
FILLER_23_111,VPWR,li1,56.8100,73.4400,1.799983
FILLER_23_105,VPWR,li1,55.2000,73.4400,1.799983
FILLER_23_93,VPWR,li1,51.0600,73.4400,1.799985
FILLER_23_81,VPWR,li1,45.5400,73.4400,1.799987
FILLER_23_69,VPWR,li1,40.0200,73.4400,1.799989
FILLER_23_57,VPWR,li1,34.5000,73.4400,1.799991
FILLER_23_55,VPWR,li1,31.0500,73.4400,1.799993
