net,length_um
net29,113.6µm
i2c_sda,109µm
net38,107.73µm
net28,105.595µm
net32,101.92µm
_114_,91.97µm
_069_,91.26µm
net36,90.34µm
net39,88.97µm
_077_,86.23µm
net40,84.2µm
net33,82.55µm
_073_,82.27µm
net35,75.65µm
state\[9\],71.5µm
net34,63.76µm
counter\[0\],55.94µm
counter\[1\],53.945µm
_075_,53.56µm
state\[7\],52.46µm
state\[2\],52.165µm
net37,50.24µm
_066_,48.78µm
_119_,46.52µm
_065_,46.4µm
counter\[3\],45.5µm
net17,44.39µm
address_reg\[0\],41.96µm
_101_,40.13µm
_109_,39.7µm
state\[6\],39.22µm
state\[8\],35.2µm
clk_counter\[1\],34.72µm
_120_,34.46µm
net16,32.06µm
_107_,32.04µm
_113_,31.26µm
_087_,28.8µm
state\[3\],28.7µm
_085_,27.26µm
_000_,26.3µm
_093_,26.26µm
state\[4\],25.695µm
_103_,24.53µm
state\[0\],24.51µm
_125_,24.35µm
state\[5\],23.68µm
_067_,23.36µm
state\[1\],23.12µm
_028_,22.57µm
clk_counter\[2\],22µm
clknet_1_1__leaf_clk,20.78µm
clk,20.3µm
address_reg\[1\],19.98µm
net24,19.94µm
_043_,19.745µm
_064_,19.16µm
net30,18.64µm
clk_counter\[0\],18.54µm
net23,18.5µm
clknet_0_clk,17.9µm
write_data_reg\[0\],17.78µm
net42,17.7µm
_074_,16.72µm
net25,16.36µm
net31,16.36µm
_032_,16.35µm
_079_,16.26µm
write_data_reg\[5\],16.24µm
_112_,16.14µm
_088_,16.1µm
net26,16.02µm
write_data_reg\[4\],15.26µm
_070_,15.1µm
_134_,15.06µm
address_reg\[7\],14.98µm
i2c_scl,14.84µm
sda_out,14.31µm
net19,14.22µm
counter\[2\],13.84µm
_100_,13.64µm
write_data_reg\[1\],13.62µm
net22,13.18µm
net7,12.76µm
_072_,12.7µm
_001_,12.28µm
_117_,12.26µm
address[1],12.02µm
net21,11.92µm
address_reg\[6\],11.88µm
_086_,11.56µm
_035_,11.385µm
_044_,11.305µm
data_in[0],11.1µm
data_out[5],11µm
data_out[6],11µm
_104_,10.74µm
address_reg\[4\],10.6µm
data_out[2],10.54µm
data_out[3],10.54µm
net2,10.48µm
_003_,10.36µm
write_data_reg\[3\],10.2µm
write_data_reg\[2\],9.98µm
address_reg\[3\],9.86µm
clknet_1_0__leaf_clk,9.86µm
data_in[5],9.64µm
_033_,9.36µm
_030_,9.03µm
_060_,8.905µm
address[4],8.72µm
_131_,8.7µm
net4,8.56µm
net12,8.56µm
_094_,8.32µm
_089_,8.02µm
net1,7.88µm
net11,7.88µm
_098_,7.82µm
_040_,7.805µm
data_out[7],7.79µm
net43,7.74µm
_068_,7.64µm
net3,7.54µm
_126_,7.44µm
_106_,7.32µm
_105_,7.2µm
_083_,7.12µm
_078_,7.08µm
_046_,7.06µm
_053_,6.925µm
_012_,6.76µm
_023_,6.71µm
address_reg\[5\],6.6µm
address[3],6.43µm
_036_,6.365µm
_048_,6.365µm
_054_,6.365µm
enable,6.31µm
_010_,6.3µm
_110_,6.3µm
_123_,6.26µm
_062_,6.225µm
net13,6.18µm
net20,6.18µm
_007_,6.14µm
_127_,6.14µm
data_in[3],6.09µm
net9,6.06µm
net18,5.98µm
_005_,5.96µm
_118_,5.85µm
_129_,5.82µm
_063_,5.765µm
address[6],5.75µm
data_out[4],5.75µm
i2c_clk,5.73µm
_091_,5.72µm
_111_,5.72µm
write_data_reg\[6\],5.72µm
write_data_reg\[7\],5.72µm
address_reg\[2\],5.58µm
_050_,5.545µm
address[2],5.41µm
data_in[7],5.41µm
_031_,5.39µm
net5,5.38µm
_081_,5.34µm
_082_,5.34µm
_084_,5.26µm
net10,5.16µm
address[5],5.07µm
data_in[1],5.07µm
data_out[0],5.07µm
data_out[1],5.07µm
ready,5.07µm
_132_,5.04µm
_002_,5µm
_004_,5µm
_013_,5µm
_022_,5µm
rst,4.95µm
_115_,4.92µm
_029_,4.88µm
_008_,4.82µm
data_in[2],4.73µm
data_in[6],4.73µm
_025_,4.56µm
_102_,4.48µm
net27,4.46µm
_096_,4.42µm
_055_,4.405µm
address[0],4.39µm
data_in[4],4.39µm
rw,4.39µm
_092_,4.34µm
_133_,4.34µm
_122_,4.21µm
_041_,4.165µm
_057_,4.165µm
_059_,4.165µm
_108_,4.12µm
_121_,4µm
_061_,3.965µm
_039_,3.78µm
net14,3.68µm
_095_,3.54µm
net41,3.54µm
_034_,3.465µm
_051_,3.465µm
_099_,3.42µm
_058_,3.245µm
_116_,3.1µm
_097_,3.08µm
_128_,3.08µm
_042_,2.86µm
sda_drive_en,2.85µm
_024_,2.84µm
_049_,2.785µm
_052_,2.785µm
_026_,2.74µm
_021_,2.72µm
_056_,2.715µm
_045_,2.585µm
_071_,2.5µm
_080_,2.5µm
_038_,2.42µm
net6,2.4µm
net15,2.3µm
_017_,2.28µm
_018_,2.23µm
_019_,2.23µm
_009_,2.16µm
_047_,2.16µm
_090_,2.16µm
_037_,1.865µm
net44,1.84µm
_014_,1.82µm
_020_,1.82µm
_124_,1.7µm
_130_,1.7µm
_076_,1.6µm
net8,1.48µm
_027_,1.38µm
_011_,1.36µm
_015_,1.36µm
_016_,1.36µm
scl_enable,1.26µm
_006_,1.085µm
