Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_24_147,VGND,li1,73.3700,76.1600,0.000016
FILLER_24_141,VGND,li1,71.7600,76.1600,0.000016
FILLER_24_130,VGND,li1,65.5500,76.1600,0.000016
FILLER_24_118,VGND,li1,62.5600,76.1600,0.000015
FILLER_24_113,VGND,li1,57.9600,76.1600,0.000014
FILLER_24_111,VGND,li1,56.8100,76.1600,0.000014
FILLER_24_105,VGND,li1,54.5100,76.1600,0.000013
FILLER_24_97,VGND,li1,51.9800,76.1600,0.000012
FILLER_24_85,VGND,li1,47.3800,76.1600,0.000011
FILLER_24_83,VGND,li1,43.9300,76.1600,0.000009
FILLER_24_75,VGND,li1,41.8600,76.1600,0.000009
FILLER_24_63,VGND,li1,37.2600,76.1600,0.000007
FILLER_24_57,VGND,li1,32.2000,76.1600,0.000006
FILLER_24_49,VGND,li1,28.7500,76.1600,0.000004
FILLER_24_42,VGND,li1,25.5300,76.1600,0.000003
FILLER_24_37,VGND,li1,22.7700,76.1600,0.000003
FILLER_24_29,VGND,li1,20.7000,76.1600,0.000003
FILLER_24_27,VGND,li1,18.1700,76.1600,0.000003
FILLER_24_15,VGND,li1,15.1800,76.1600,0.000003
FILLER_24_3,VGND,li1,9.6600,76.1600,0.000003
FILLER_23_147,VGND,li1,73.3700,76.1600,0.000016
FILLER_23_141,VGND,li1,71.7600,76.1600,0.000016
FILLER_23_122,VGND,li1,62.3300,76.1600,0.000015
FILLER_23_111,VGND,li1,56.8100,76.1600,0.000014
FILLER_23_105,VGND,li1,55.2000,76.1600,0.000013
FILLER_23_93,VGND,li1,51.0600,76.1600,0.000012
FILLER_23_81,VGND,li1,45.5400,76.1600,0.000009
FILLER_23_69,VGND,li1,40.0200,76.1600,0.000008
FILLER_23_57,VGND,li1,34.5000,76.1600,0.000006
FILLER_23_55,VGND,li1,31.0500,76.1600,0.000005
FILLER_23_51,VGND,li1,29.9000,76.1600,0.000005
FILLER_23_39,VGND,li1,26.2200,76.1600,0.000003
FILLER_23_27,VGND,li1,20.7000,76.1600,0.000003
FILLER_23_15,VGND,li1,15.1800,76.1600,0.000003
